MessageLength;TagBits;Precompute;Parallel;RandomKeys;Encoding;TimePrecompute;Tag;TimeUs;CyclesPerByte
1024;32;0;0;0;1;0;5d13570f;0.00;6.31
1024;32;1;0;0;1;0;5d13570f;0.00;1.79
1024;32;0;0;0;1;0;9c8a1ab4;0.00;6.29
1024;32;1;0;0;1;0;9c8a1ab4;0.00;1.76
10000;128;0;0;0;1;0;f00426d1d58d1d451acd3f700c13b8e4;0.02;4.87
10000;128;1;0;0;1;0;f00426d1d58d1d451acd3f700c13b8e4;0.00;0.78
10000;128;0;0;0;1;0;4ed9cef56751de572d6c56d906b0a772;0.02;4.89
10000;128;1;0;0;1;0;4ed9cef56751de572d6c56d906b0a772;0.00;0.77
10000;96;0;0;0;1;0;f00426d1d58d1d451acd3f70;0.01;4.77
10000;96;1;0;0;1;0;f00426d1d58d1d451acd3f70;0.00;0.75
10000;96;0;0;0;1;0;366818d1df19309edaba2e25;0.01;4.75
10000;96;1;0;0;1;0;366818d1df19309edaba2e25;0.00;0.74
10000;64;0;0;0;1;0;f00426d1d58d1d45;0.01;4.78
10000;64;1;0;0;1;0;f00426d1d58d1d45;0.00;0.76
10000;64;0;0;0;1;0;87fb42987eee32c8;0.02;4.80
10000;64;1;0;0;1;0;87fb42987eee32c8;0.00;0.76
10000;32;0;0;0;1;0;f00426d1;0.02;4.81
10000;32;1;0;0;1;0;f00426d1;0.00;0.76
10000;32;0;0;0;1;0;c9d95a36;0.02;4.82
10000;32;1;0;0;1;0;c9d95a36;0.00;0.75
100000;128;0;0;0;1;0;c3263bfe9b56834e991da9f368efe89e;0.15;4.67
100000;128;1;0;0;1;0;c3263bfe9b56834e991da9f368efe89e;0.02;0.68
100000;128;0;0;0;1;0;b77ee77fee58e2af54bc19fcc8f851ec;0.15;4.70
100000;128;1;0;0;1;0;b77ee77fee58e2af54bc19fcc8f851ec;0.02;0.68
100000;96;0;0;0;1;0;c3263bfe9b56834e991da9f3;0.15;4.70
100000;96;1;0;0;1;0;c3263bfe9b56834e991da9f3;0.02;0.68
100000;96;0;0;0;1;0;4d5edaf243e5d9511a1fef48;0.15;4.68
100000;96;1;0;0;1;0;4d5edaf243e5d9511a1fef48;0.02;0.68
100000;64;0;0;0;1;0;c3263bfe9b56834e;0.15;4.67
100000;64;1;0;0;1;0;c3263bfe9b56834e;0.02;0.68
100000;64;0;0;0;1;0;da6c720c05bc57cf;0.15;4.68
100000;64;1;0;0;1;0;da6c720c05bc57cf;0.02;0.67
100000;32;0;0;0;1;0;c3263bfe;0.15;4.66
100000;32;1;0;0;1;0;c3263bfe;0.02;0.67
100000;32;0;0;0;1;0;3e3f130b;0.15;4.64
